x,y
0.0,3.305685818280665
0.12214719134220103,3.30399358242415
0.2442006232575899,3.2989181738043545
0.3660666082885091,3.2904634882734722
0.4876516028603678,3.2786360155957004
0.6088622790851093,3.26344483446574
0.7296055963991194,3.244901605540048
0.8497888729805866,3.2230205624861883
0.9693198568914937,3.197818501057154
1.0881067968896334,3.169314766199056
1.206058512856293,3.1375312372020616
1.3230844657855483,3.1024923109059825
1.4390948272814434,3.0642248829734173
1.5540005485097104,3.022758327244804
1.6677134285511026,2.9781244731912464
1.7801461821038724,2.9303575814824017
1.8912125064834302,2.8794943176882137
2.000827147867747,2.825573724134637
2.1089059667376615,2.768637189935
2.215366002461854,2.7087284192199697
2.215366002461854,2.7087284192199688
2.3281269450650237,2.6423962240234697
2.438577893659318,2.5753727213187396
2.545983531605718,2.5075614365571086
2.6496904244574964,2.438963197370586
2.749130246649804,2.369665991851579
2.8438227138243475,2.299833502494045
2.933377797606023,2.2296926002433386
3.0174968574015897,2.159520127608319
3.095972403399454,2.0896293366570164
3.168686291609906,2.0203563767147474
3.2356062499858105,1.9520472375840043
3.2967807371178535,1.8850455437725593
3.3523322357975536,1.8196815612445392
3.4024491766681653,1.7562627208558041
3.447376742857966,1.6950659039443732
3.4874069795864715,1.6363315544366577
3.522868444690348,1.5802597508149372
3.554115856115235,1.527008123897469
3.5815201013867304,1.4766914644803362
3.605458908700242,1.4293828199740877
3.6263084474312746,1.3851158089558155
3.644436045995598,1.3438878642917693
3.660194135863168,1.305664115420976
3.6739154532155416,1.2703816400289583
3.685909458810593,1.2379538533929595
3.6964598917728675,1.2082748282030344
3.7058233149628927,1.181223411542803
3.7142284939491095,1.1566670469853848
3.721876458735249,1.1344652135043924
3.728941078089301,1.1144724694873613
3.7355700003855583,1.096541095454412
3.7418858301022055,1.0805233521089064
3.747987429144525,1.0662733833818963
3.7539512525104675,1.05364880207626
3.759832646988702,1.0425119997216923
3.7656670581941154,1.0327312112735187
3.7714711072045084,1.024181428222658
3.777243511914552,1.0167451189543013
3.7829658323272524,1.0103128460393325
3.7886030354716045,1.004783813329981
3.794103879827257,1.0000663631876214
3.7994011273550514,0.9960784588867175
3.804411598683473,0.9927481827300202
3.80903609444951,0.9900142815592088
3.813159212933335,0.987826794955267
3.8166490999840637,0.9861478086925837
3.8193571701852793,0.9849523890343512
3.821117834312125,0.9842297723416857
